element	count
Ni	3612
Co	1469
Fe	1256
Cu	773
K	682
Ti	587
U	518
Mo	515
Mn	497
Na	477
V	406
Ce	377
W	362
Au	352
Pt	351
Zn	311
Al	244
Ag	235
Pd	187
Cr	187
Ru	173
Zr	142
Pb	141
Sn	116
Ir	99
Ca	92
Bi	91
La	90
Rh	72
Mg	70
Nb	64
Li	55
Cs	52
Y	48
Hg	42
Cd	37
Ac	36
In	31
Ta	29
Sr	18
Sm	18
Pr	17
Hf	16
Th	12
Re	12
Nd	11
Eu	11
Ga	11
Ba	11
Hs	9
Os	8
Am	7
Sc	7
Tb	5
Ra	4
Yb	3
No	3
Ho	2
Dy	2
Pu	2
Po	1
Cm	1
Es	1
Gd	1
Pm	1
Pa	1
