scenario_id,candidate,audited_run_count,supported_run_count,flagged_insufficient_count,flagged_conflict_count,rejected_count,supported_run_rate,best_record_id,best_model,best_supported_dimension_count,best_weakest_dimension_R,best_max_dimension_conflict_K
source_weak_discount,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_4c59c2c3497dce9e,deepseek,2,0.252,0.0
source_weak_discount,Fe-Co-Ni-Mn-Zn,27,4,23,0,0,0.14814814814814814,run_dfe4e7ab7feb5520,gemini,4,0.7333835263999999,0.0
source_weak_discount,Fe-Ni-Mn-Cu-Zn,2,0,2,0,0,0.0,run_2360feb965109230,gpt,0,0.3360719680275309,0.0
traceability_strong_discount,Co-Ni-Mn-Cu-Zn,1,0,1,0,0,0.0,run_cea84eca5af08e21,qwen,2,0.09,0.0
traceability_strong_discount,Fe-Co-Ni-Cu-Zn,5,0,5,0,0,0.0,run_cb003639c449e5af,gpt,3,0.4298691116229511,0.014405778840060675
traceability_strong_discount,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_e031b877f070eb35,deepseek,1,0.2154406851637379,0.0
traceability_strong_discount,Fe-Co-Ni-Mn-Zn,27,2,25,0,0,0.07407407407407407,run_dfe4e7ab7feb5520,gemini,4,0.636992,0.0
traceability_strong_discount,Fe-Ni-Mn-Cu-Zn,2,0,2,0,0,0.0,run_2360feb965109230,gpt,0,0.22358259008961406,0.0
traceability_weak_discount,Co-Ni-Mn-Cu-Zn,1,0,1,0,0,0.0,run_cea84eca5af08e21,qwen,2,0.09,0.0
traceability_weak_discount,Fe-Co-Ni-Cu-Zn,5,1,4,0,0,0.2,run_cb003639c449e5af,gpt,4,0.6639148508714459,0.035678016192317544
traceability_weak_discount,Fe-Co-Ni-Mn-Cu,5,0,5,0,0,0.0,run_4c59c2c3497dce9e,deepseek,2,0.2835,0.0
traceability_weak_discount,Fe-Co-Ni-Mn-Zn,27,5,22,0,0,0.18518518518518517,run_bcaadea5c838c750,gpt,4,0.660034039644,0.10276984191262854
traceability_weak_discount,Fe-Ni-Mn-Cu-Zn,2,0,2,0,0,0.0,run_2360feb965109230,gpt,0,0.3859186768693261,0.0
